name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Deplanchea tetraphylla,0.426,64,62
Deplanchea tetraphylla,0.398,64,62
Dysoxylum mollissimum,0.551,64,62
Ehretia acuminata,0.530,64,62
Eucalyptus camaldulensis,0.973,64,62
Eucalyptus camaldulensis,0.723,64,62
Eucalyptus camaldulensis,0.809,64,62
Eucalyptus camaldulensis,0.786,64,62
Eucalyptus diversicolor,0.774,64,62
Eucalyptus marginata,0.723,64,62
Eucalyptus robusta,0.734,64,62
Eucalyptus tereticornis,0.827,64,62
Ficus racemosa,0.353,64,62
Ficus racemosa,0.413,64,62
Flindersia brayleyana,0.478,64,62
Flindersia ifflaiana,0.848,64,62
Flindersia laevicarpa,0.482,64,62
Flindersia schottiana,0.596,64,62
Galbulimima belgraveana,0.474,64,62
Galbulimima belgraveana,0.525,64,62
Galbulimima belgraveana,0.452,64,62
Hibiscus tiliaceus,0.474,64,62
Lophostemon confertus,0.762,64,62
Lophostemon suaveolens,0.551,64,62
Mimusops elengi,0.870,64,62
Mimusops elengi,0.870,64,62
Mimusops elengi,0.818,64,62
Nauclea orientalis,0.467,64,62
Nauclea orientalis,0.491,64,62
Acacia mangium,0.474,64,62
Acacia mangium,0.519,64,62
Acacia mangium,0.474,64,62
Endiandra palmerstonii,0.619,64,62
Eucalyptus pellita,0.818,64,62
Grevillea robusta,0.525,64,62
Grevillea robusta,0.536,64,62
Grevillea robusta,0.495,64,62
Grevillea robusta,0.534,64,62
Grevillea robusta,0.517,64,62
